Zipcode	Days on Zillow	Status	Url	ImageUrl	Price	Rent Estimate
77356	0	House for sale	https://www.zillow.com/homedetails/279-Brocks-Ln-Montgomery-TX-77356/304873948_zpid/	https://photos.zillowstatic.com/fp/19f42a38f897d2dea6b3f588fb48c40d-p_e.jpg	250000	1688
77356	0	House for sale	https://www.zillow.com/homedetails/141-Colbys-Way-Montgomery-TX-77356/2069168746_zpid/	https://photos.zillowstatic.com/fp/0c36669184ade71f65549a241c02451b-p_e.jpg	335000	2482
77316	9	House for sale	https://www.zillow.com/homedetails/4463-Lily-Bean-Rd-Montgomery-TX-77316/182571663_zpid/	https://photos.zillowstatic.com/fp/55d46b81a9c801194e37ef6af22f1411-p_e.jpg	3220000	12486
77316	3	New construction	https://www.zillow.com/homedetails/5277-E-Park-Ln-Montgomery-TX-77316/2061576900_zpid/	https://photos.zillowstatic.com/fp/ba5a1ff435fd9f24a53eea944dd2ff17-p_e.jpg	309900	0
77356	0	House for sale	https://www.zillow.com/homedetails/258-Brocks-Ln-Montgomery-TX-77356/304873928_zpid/	https://photos.zillowstatic.com/fp/7edc4e215d5004864bdce8d0bbdcd99a-p_e.jpg	315000	1761
77316	54	House for sale	https://www.zillow.com/homedetails/3920-Spring-Branch-Rd-Montgomery-TX-77316/331724582_zpid/	https://photos.zillowstatic.com/fp/67cde42670b6fe95f7b8b9ccc28c82b7-p_e.jpg	24900000	1735
77316	3	New construction	https://www.zillow.com/homedetails/5320-Pine-Rdg-Montgomery-TX-77316/2061705541_zpid/	https://photos.zillowstatic.com/fp/ba5a1ff435fd9f24a53eea944dd2ff17-p_e.jpg	329900	0
77356	0	House for sale	https://www.zillow.com/homedetails/814-Caroline-St-Montgomery-TX-77356/52109716_zpid/	https://photos.zillowstatic.com/fp/aa6c459ecca3c43a034509fccc193b8b-p_e.jpg	400000	2264
77316	0	House for sale	https://www.zillow.com/homedetails/22041-Stone-Creek-Ln-Montgomery-TX-77316/96612834_zpid/	https://photos.zillowstatic.com/fp/5a382ca94f57ec64809117a9aae18a3c-p_e.jpg	629000	4124
77316	0	House for sale	https://www.zillow.com/homedetails/10922-Crawford-Cir-Montgomery-TX-77316/96563680_zpid/	https://photos.zillowstatic.com/fp/2956e96537c76da4da3b35df0f1f3371-p_e.jpg	525000	3167
77316	0	House for sale	https://www.zillow.com/homedetails/22037-Blue-Goose-Dr-Montgomery-TX-77316/120897343_zpid/	https://photos.zillowstatic.com/fp/cbab1c5fd44696128a56b7a2d46343b2-p_e.jpg	3250000	17099
77316	79	House for sale	https://www.zillow.com/homedetails/3-Bobville-Rd-TRACT-3-Montgomery-TX-77316/2062140590_zpid/	https://photos.zillowstatic.com/fp/43368a8a43926b523b2c4084b91ab9ff-p_e.jpg	550000	0
77316	64	New construction	https://www.zillow.com/homedetails/4469-Lily-Bean-Rd-Montgomery-TX-77316/2085503277_zpid/	https://photos.zillowstatic.com/fp/90920fa5dd016d128696af6017c4c811-p_e.jpg	3150000	16685
77316	0	House for sale	https://www.zillow.com/homedetails/26358-Jacks-Barn-Rd-Montgomery-TX-77316/244125489_zpid/	https://photos.zillowstatic.com/fp/3594d9fb9819518977118160bf1016be-p_e.jpg	2050000	11107
77316	183	New construction	https://www.zillow.com/homedetails/4529-Lily-Bean-Rd-Montgomery-TX-77316/331725952_zpid/	https://photos.zillowstatic.com/fp/b33c90f33fa5e427dafd8c9a30a62170-p_e.jpg	4100000	20477
77356	0	New construction	https://www.zillow.com/community/hills-of-town-creek/2072371660_zpid/	https://photos.zillowstatic.com/fp/7b79b205afea4332f3e9d62cc11b9a55-p_e.jpg	292900	1842
77316	67	House for sale	https://www.zillow.com/homedetails/5052-Spring-Branch-Rd-Montgomery-TX-77316/182576758_zpid/	https://photos.zillowstatic.com/fp/e240841020f089697f15492200b3f63b-p_e.jpg	3200000	12521
77356	0	New construction	https://www.zillow.com/community/hills-of-town-creek/2075686067_zpid/	https://photos.zillowstatic.com/fp/8a60a5baa7be8ba4d28ab76e4ff11ec5-p_e.jpg	291900	1842
77316	88	New construction	https://www.zillow.com/homedetails/4434-Lily-Bean-Rd-Montgomery-TX-77316/2062253812_zpid/	https://photos.zillowstatic.com/fp/1c2f9747c1c59023ba4c08e5e2dd8d30-p_e.jpg	2205000	0
77356	0	New construction	https://www.zillow.com/community/hills-of-town-creek/2084494013_zpid/	https://photos.zillowstatic.com/fp/9fef16cc64cb5dc16fae2af6c95fe4af-p_e.jpg	342900	1842
77316	0	New construction	https://www.zillow.com/homedetails/11-Spring-Branch-Rd-11-Montgomery-TX-77316/2076559057_zpid/	https://photos.zillowstatic.com/fp/966bdb1b31e5b6615b405e6e76fc8db3-p_e.jpg	1750000	5000
